天津联通rtp组播,#genre#
天津卫视HD,rtp://225.1.1.111:5002
天津新闻HD,rtp://225.1.1.130:5002
天津文艺HD,rtp://225.1.1.131:5002
天津影视HD,rtp://225.1.1.149:5002
天津都市HD,rtp://225.1.1.128:5002
天津体育HD,rtp://225.1.1.122:5002
天津科教HD,rtp://225.1.1.129:5002
三佳购物,rtp://225.1.1.151:5002
蓟州区HD,rtp://225.1.1.82:5002
静海区,rtp://225.1.1.110:5002
河西区,rtp://225.1.2.4:5002
4K超清影视,rtp://225.1.2.190:5002
CCTV-1综合HD,rtp://225.1.1.120:5002
CCTV-2财经HD,rtp://225.1.1.133:5002
CCTV-3综合文艺HD,rtp://225.1.1.158:5002
CCTV-4中文国际HD,rtp://225.1.1.150:5002
CCTV-5体育HD,rtp://225.1.1.160:5002
CCTV5+ HD,rtp://225.1.1.121:5002
CCTV-6电影HD,rtp://225.1.1.195:5002
CCTV-7农业HD,rtp://225.1.1.138:5002
CCTV-8电视剧HD.rtp://225.1.1.196:5002
CCTV-9记录HD,rtp://225.1.1.119:5002
CCTV-10科教HD,rtp://225.1.1.140:5002
CCTV-11戏曲HD,rtp://225.1.2.192:5002
CCTV-12社会与法HD,rtp://225.1.1.142:5002
CCTV-13新闻HD,rtp://225.1.2.193:5002
CCTV-14少儿HD,rtp://225.1.1.144:5002
CCTV-15音乐HD,rtp://225.1.2.194:5002
CCTV-16奥林匹克HD,rtp://225.1.2.237:5002
CCTV兵器科技,rtp://225.1.2.166:5002
CCTV风云足球,rtp://225.1.2.168:5002
CCTV第一剧场,rtp://225.1.2.175:5002
CCTV怀旧剧场,rtp://225.1.2.173:5002
CCTV风云剧场,rtp://225.1.2.174:5002
CCTV女性时尚,rtp://225.1.2.172:5002
CCTV风云音乐,rtp://225.1.2.176:5002
CCTV电视指南,rtp://225.1.2.167:5002
CCTV世界地理,rtp://225.1.2.171:5002
CCTV央视文化精品,rtp://225.1.2.177:5002
湖南卫视HD,rtp://225.1.1.114:5002
江苏卫视HD,rtp://225.1.1.126:5002
浙江卫视HD,rtp://225.1.1.112:5002
安徽卫视HD,rtp://225.1.1.127:5002
北京卫视HD,rtp://225.1.1.113:5002
黑龙江卫视HD,rtp://225.1.1.115:5002
广东卫视HD,rtp://225.1.1.116:5002
深圳卫视HD,rtp://225.1.1.117:5002
四川卫视HD,rtp://225.1.1.123:5002
湖北卫视HD,rtp://225.1.1.147:5002
山东卫视HD,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视HD,rtp://225.1.1.148:5002
辽宁卫视HD,rtp://225.1.1.154:5002
重庆卫视HD,rtp://225.1.1.155:5002
吉林卫视HD,rtp://225.1.2.26:5002
河北卫视HD,rtp://225.1.2.27:5002
贵州卫视HD,rtp://225.1.2.28:5002
江西卫视HD,rtp://225.1.2.29:5002
上海东方HD,rtp://225.1.2.31:5002
河南卫视HD,rtp://225.1.2.235:5002
广西卫视HD,rtp://225.1.2.81:5002
河南卫视HD,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视HD,rtp://225.1.2.82:5002
甘肃卫视,rtp://225.1.1.159:5002
内蒙古卫视,rtp://225.1.1.32:5002
新疆卫视,rtp://225.1.1.35:5002
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,rtp://225.1.2.234:5002
陕西卫视,rtp://225.1.1.41:5002
山西卫视,rtp://225.1.1.50:5002
西藏卫视,rtp://225.1.1.51:5002
青海卫视,rtp://225.1.1.54:5002
宁夏卫视,rtp://225.1.1.56:5002
云南卫视,rtp://225.1.1.61:5002
兵团卫视,rtp://225.1.1.57:5002
三沙卫视HD,rtp://225.1.1.182:5002
金鹰纪实HD,rtp://225.1.1.124:5002
欢笑剧场4K,rtp://225.1.1.139:5002
生活时尚高清,rtp://225.1.1.143:5002
纪实人文高清,rtp://225.1.2.25:5002
都市剧场高清,rtp://225.1.1.146:5002
魅力足球,rtp://225.1.1.137:5002
精彩影视,rtp://225.1.1.141:5002
CHC家庭影院高清,rtp://225.1.1.213:5002
CHC高清电影,rtp://225.1.1.214:5002
CHC动作电影,rtp://225.1.1.215:5002
金色频道高清,rtp://225.1.1.236:5002
法治天地高清,rtp://225.1.1.237:5002
天津文艺广播,rtp://225.1.1.171:5002
天津经济广播,rtp://225.1.1.172:5002
天津新闻广播,rtp://225.1.1.173:5002
天津生活广播,rtp://225.1.1.174:5002
天津交通广播,rtp://225.1.1.175:5002
天津相声广播,rtp://225.1.1.176:5002
天津小说广播,rtp://225.1.1.177:5002
天津滨海广播,rtp://225.1.1.178:5002
天津音乐广播,rtp://225.1.1.179:5002
天津农村广播,rtp://225.1.1.180:5002


